Middle Attendance Data
Week, Game, Home Win %, Visitor Win %, Home Market Index, Home Stars Index, Visitor Stars Index, Home AFP, Visitor AFP, Ticket Price, Middle Section Attendance
1,Boston @ San Diego,0.5,0.5,2,3,2,200,200,13.00,11000
1,Pittsburgh @ Philadelphia,0.5,0.5,5.6,3,2,200,200,17.99,12105
1,Denver @ San Francisco,0.5,0.5,6,2,3,200,200,17.00,13000
1,Atlanta @ Minneapolis,0.5,0.5,3.2,1,2,200,200,12.00,11700
1,Cincinnati @ New York,0.5,0.5,10,3,2,200,200,30.00,10500
1,Kansas City @ Seattle,0.5,0.5,3.2,2,4,200,200,13.00,12700
2,Minneapolis @ Kansas City,1,0,1.6,4,1,203,193,12.00,13620
2,San Francisco @ Atlanta,1,1,4,2,2,202,250,15.00,17060
2,New York @ Pittsburgh,1,0,2.2,2,3,208,189,17.00,11830
2,Seattle @ Cincinnati,1,0,1.6,2,2,241,190,13.50,13480
2,San Diego @ Denver,0,1,2.8,3,3,97,237,10.00,8580
2,Philadelphia @ Boston,0,0,4.6,2,3,186,205,7.99,10735
